,ad,terkibi,hazirlanmasi,img_url,label,yemek_id
10,Yay dovğası, l - Qatıq l - Su  - Yumurta  - Yumru düyü  - Un  - Duz-  - Keşniş-  - Şüyüd-  - Dağ keşnişi  - İspanaq-  - Nanə  - Tərxun,"Göyərtiləri seçirik, təmiz yuyuruq, quruduruq və xırda-xırda doğrayırıq. Qatığı dərin bir qazana tökürük, taxta çırpıcı ilə qarışdırırıq. Daha sonra yumurta, yumru düyü, un , su əlavə edirik və qarışdırırıq. Qazanı plitəyə qoyuruq, taxta qaşıqla qaynayanadək qarışdırırıq.Qaynama prosesi başladıqdan sonra qarışdırmaya davam edərək altını biraz qısırıq, əvvəlcədən hazırladığımız göyərtiləri əlavə edirik. Düyünü yoxlayırıq, əgər o bişibsə, duz əlavə edirik və dovğamız hazırdır.Nuş olsun!",http://dadli.az/uploads/posts/2019-08/1565388039_dadli.jpg,Sulu yemek,754970
11,Sulu küftə,"  qiymə, dilim bayat çörək, orta boy soğan,Nanə, istiot,kəklikotu,duz,Arzuya görə  pul bibər,  un, şirniyyat qaşığı tomat,  stəkan  su,maye yağ, ","Qiyməni dərin bir qaba alın.Soğanları soyub yuyun.Sonra soğanları  rəndələyin.Boyat çörəyi dilimləyib , suda  isladın.Çörək isladandan sonra azca suyunu sıxın.Suyunu çox sıxıb qurutmayın .Suyu çox qurumuş olarsa küftələr bərk ola  bilər.Ona görə də çörəkləri sulu edin ki, küftələr yumşaq olsun.Çörəyi mümkün olduğu qədər rəndənin iri dişindən keçirdib qiyməyə qatın.Ədviyyatlarını  da əlavə edib qarışdırın.Yuvarlaq bir az qalın küftələr hazırlayın.Bir tavaya duru yağ əlavə edin.Tavanı elə seçin ki, həm qızardıb , həm də bişirə biləsiniz.Küftələrin hər iki tərəfini xəfifcə qızardın.Qızartdığınız yağ yanmayıb təmiz qalmışdırsa  2-3 qaşıq unu həmin yağda qovurun.Qoxusu çıxan una tomatı əlavə edib  bir müddət daha  davam edin.Suyu ( soyuq olamalıdır.İsti olarsa un yapışıb topaclanar. ) yavaşça əlavə edib  unu gözəlcə açın . Pokurdama  başlayan sosa küftələri əlavə edib ,  bişənə qədər qaynadın.Bu sürə 10-12 daəqiqəyə də   tamamlana  bilər.Beləliklə, sürətli və pratik bir sulu küftə əldə etmiş olacaqsınız.Üzərinə kəklikotu   gəzdirib  servis  edin.Nuş olsun!",http://dadli.az/uploads/posts/2019-04/1554546844_dadli.jpg,Sulu yemek,102264
12,Mahluta şorbası," stəkan qırmızı mərcimək,/  düyü,  iri quru soğan,  duru yağ, stəkan su,   tomat  təzə sıxılmış limon suyu,  kərə yağı, şirniyyat qaşığı toz qırmızı bibər ",Qırmızı mərciməyi və düyünü bol suda yaxşıca yuyub süzün.Süzdüyünüz  mərcimək və düyünü  dərin  bir qazana yığın.Üzərinə 8 stəkan su və bir az duz əlavə edib qarışdırın.Digər tərəfdə isə içərisinə 3 yemək qaşığı duru yağ  qoyduqunuz tavanı  ocağa qoyun.İçərisinə incə-incə doğradığınız soğanları töküb yumşalana qədər qovurun.Qovurduğunuz soğanların üzərinə bir yemək qaşığı tomat əlavə edin  və 1 dəqiqə daha qovurun.Sonda zövqünüzə görə ədviyyatları qatıb  qarışdırın.Mərcimək və düyü tamamən yumşaldıqdan sonra üzərinə qovrulmuş tomatlı soğanı əlavə edin.Bir az qaynadıb ocaqdan alın.Hazırladığınız şorbanı isti halda servis edin.Şorbanın qatılığı çoxdursa azacıq su əlavə edin.Nuş olsun!,http://dadli.az/uploads/posts/2019-06/1561402222_dadli.jpg,Sulu yemek,276673
13,Düşbərə - FOTO RESEPT,"kq unSu, duzİçlik üçün: quzu əti  soğanNanə qurusuDuz, istiot, sarıkökBulyon(zövqə görə)","1. Unu ələyib üzərinə ilıq su və duz əlavə edirik. Nə çox bərk nə də yumuşaq xəmir yoğururuq. Xəmirin üzərinə dəsmal sərib biraz gözlədirik. Bu müddət ərzində ət və soğanı ətçəkən maşından keçiririk. Üzərinə zövqə görə duz, istiot, nanə qurusu səpib qarışdırırıq.2. Xəmiri kündələrə bölüb növbə ilə oxlovla açırıq. Kvadrat formalarda kəsib, içərisinə ət qoyub düşbərə bükürük. Bacarıqlı kulinarlarımız bir xörək qaşığına 10 və ya daha artıq düşbərə siğdırırlar. Mən isə xırda düşbərə sevmirəm. Bunun üçün sərf ediləcək zamanım da yoxdur. Yeri gəlmişkən onu da xadırladım ki, düşbərə zamanı kasad xanımlar üçün əlverişli yeməkdir. Bükdüyünüz düşbərələri soyuducunun buzluğuna qoyub istədiyiniz vaxt çıxarıb suda bişirə bilərsiniz.3. Hazır düşbərələri ət bulyonunda və ya adi suda bişirə bilərsiniz. Bunun üçün su və ya bulyonu qazanda qaynadıb içərisinə düşbərələri ehtiyatla tökmək kifayətdir. Əgər su ilə hazırlayırsınızsa su qaynayanda qazana duz tökməyi unutmayın. Düşbərəni süfrəyə sirkə və qatıqla vermək olar.Nuş olsun!",http://dadli.az/uploads/posts/2019-08/1564765898_dadli.jpg,Sulu yemek,778694
14,Südlü badam şorbası,", stəkan  süd, q  badam,, stəkan  un, şorba qaşığı kərə yağı,   hindistan cəvizi, stəkan sümük k suyu,Duz,Yarım dəstə  cəfəri,Süsləmək üçün  nar dənələri (arzuya görə)",Badamların qabıqlarının asanlıqla soyulması üçün isti suda 5 dəqiqə qaynadın.Qabıqları soyulan badamları incə-incə doğrayın.Şorba bişirəcəyiniz qazanda kərə yağını əridin.Un  əlavə edib iyi çıxana qədər qovurun.İncə çəkilmiş badamları da əlavə edərək 2-3 dəqiqə daha qovurma işlərinə davam edin.Bu qarışıma süd və sümük suyu əlavə edərək ərzaqları topaclanmaması üçün qarışdırın.Vam odda qaynayıb qatılaşan şorbanı ocaqdan düşürməzdən əvvəl Hindistan cəvizini də  rəndələyərək  əlavə edin.Bir başqa qabda bir şorba qaşığı kərə yağı əridin.Yarım çömçə sümük suyunu da bu qarışıma əlavə edin.Pokurdamağa başlayanda bu qarışığa incə doğranmış cəfəri doğrayın.Cəfərinin əlavə edilməsindən sonra bu sosu şorbanın üzərində gəzdirin.Arzuya görə üzərini nar dənələri ilə süsləyə bilərsiniz.Nuş olsun!,http://dadli.az/uploads/posts/2019-05/1558725389_qadinla.jpg,Sulu yemek,347302
15,Dovğa - FOTO RESEPT,"Qatıq:  am,Yağ (ərinmiş)  am,Xama:  am,Ağ buğda unu  am,Baş soğan:  am,Düyü:  am,Quzuqulağı,İspanaq,Keşniş,,Şüyüd,Digər göyərtilər də  (zövqə görə) istifadə etmək olar.Noxud:  am,Duz: zövqə görə","Dovğa bişirmək üçün əvvəlcə  noxud təmizlənir və suda islanması üçün gözlədilir.Noxudun islanması üçün təqribən ən azı 3-5 saat suda gözlədilməlidir.Suda gözlədildikdən sonra noxudlar bişənə qədər qaynadılır.Dovğaya vurulacaq olan baş soğanlar təmizlənir və kiçik – kiçik doğranır.Ayrı bir qabda qatıq, xama və un yaxşıca qarışdırılır.Qarışığın üzərinə duyu və yumurta əlavə edilir və onlar da qarışdırılır.Qatıqlı qarışıq vam odda ara vermədən qarışdırılaraq qaynayana qədər  yavaş – yavaş bişirirlər.Qarışdırılması mütləq vacibdir. Çünki belə edilmədiyi təqdirdə dovğa çürüyər.İspanaq, quzuqulağı, keşniş şüyüd kiçik – kiçik doğranır.Xörəyin bişməsinə az qalmış (təqribən 10 dəqiqə) doğradığımız quzuqulağı, keşniş, şüyüd, ispanaq dovğaya qatılır.Bundan sonra duz da əlavə edilir və bişənə qədər qaynadılır.Xörək bişdikdən sonra dadı biraz turşməzə olmalıdır.Bununla yanaşı, xörəkdə keşniş və şüyüdün də xoş, iştahaçan iyi hiss edilməlidir.Qeyd:Dovğaya bişənə yaxın ət də qatmaq mümkündür.Bunun üçün əvvəlcə ət bişirilir, kiçik ölçüdə doğranılır.Xörək bişənə yaxın dovğaya qatılır.Nuş olsun!",http://dadli.az/uploads/posts/2019-05/1558727139_qadinla.jpg,Sulu yemek,575056
16,"Ərişdəli, qatıqlı şorba","  noxud, stəkan su,  ət ya da toyuq  suyu,Duz, su  stəkanı  kəpəkli ərişdə,  qatıq,  tam buğda unu, şirniyyat  qaşığı kərə  yağı,  quru nanə,",Noxudları bol suyla yuyub suyunu süzün.Üzərinə su əlavə edib  1 gecə  saxlayın.Suyunu dəyişdirib  yumuşalıncaya qədər   bişirin.Su və ət suyunu qaynamağa buraxın.Duz və ərişdələri əlavə edərək  yumuşalıncaya qədər bişirin.Noxudları əlavə edib   15 dəqiqə  daha bişirin.Bir kasada qatığı və  unu  yaxşıca  qarışdırın.Şorbanın suyundan 1 çömçə qədər  əlavə edərək  çırpın və bunu şorbaya yavaş- yavaş əlavə edərək  qarıştırın.15 dəqiqə  bişirin.Ayrı bir tavada   kərə  yağını əridib  nanə ilə qarışdırın və şorbaya əlavə  edin.İsti halda servis edin.Nuş olsun!,http://dadli.az/uploads/posts/2019-06/1561402360_dadli.jpg,Sulu yemek,739386
17,Düşbərə,"Toyuq bulyonu - , l.Göyərti -  dəstəDuz, istiot, ədviyyə - zövqə görəDüşbərə üçün:Çəkilmiş qoyun əti - - .Duz, istiot - zövqə görəDoğranmış keşniş -  qaşıqToyuq yumurtası -  Su -  y.qDuz -  ç.q.Un -  st.","Çəkilmiş ətə ədviyyələri və bir qaşıq doğranmış keşnişi əlavə edirik. Su, un, duz və yumurtadan xəmir yoğururuq. Onu iki hissəyə bölürük hər ikisini incə bir şəkildə açırıq, 2-3 sm kvadratlar kəsirik. 100 kvadrat alınmalıdır. Kvadratların ortasına biraz ət qoyuruq, üçbucaq bağlayırıq, büküb, küncləri birləşdiririk.Düşbərəni qaynayan bulyona atıb, 5 dəqiqə bişiririk. Doğranmış göyərti, istiot və biraz duz qatırıq.Nuş olsun!",http://dadli.az/uploads/posts/2019-08/1565386402_dadli.jpg,Sulu yemek,439843
18,Buz kimi havanın yaxın dostu: Tərxana," kq pomidor, kq quru soğan, kq ətli qırmızı bibər kq bişirilmiş   noxud, dəstə cəfəri, dəstə  təzə nanə, kq süzmə qatıq,  qaya duzu, kq un, qaşıq  quru maya","Pomidorları iri parçalar halında doğrayın.Ortadan ikiyə kəsib çykirdəklərini çıxardığınız ətli qırmızı bibərləri iri parçalar halında doğrayın.Qabığını  soyduğunuz quru soğanları dörd bərabər   parçaya bölün.Cəfəri  və nanə yarpaqlarını ayırtlayıb  bol suda yuduqdan sonraqurudun.ddomatesi tencereye alın.Tərəvəzlər suyunu verəcəyi üçün az miqdarda su əlavə edərək vam odda bişirin.Bişirmə işləmi sonunda püre halına gələn qarışığı ocaqdan alın.Soyuması üçün otaq temperaturunda gözlədinİncə-incə doğradığınız göyərtiləri də  içərisinə qataraq  aromalarının qarışmasını təmin edin.Həddindən çox sulanmaması üçün kiçik gözlü bir süzgəcdən keçirdin.Əldə etdiyiniz püre qarışığını mərbəx robortundan keçirdin.Süzmə qatığı və qaya duzunu da əlavə edib qarışdırın.Turşuması üçün quru maya əlavə edin.Az-az ələnmiş un əlavə edərək puaça xəmiri kimi bir xəmir əldə edənə qədər yoğurun.Olduqca böyük boy xəmiri (xəmirin qabarma payını da hesablayın)şüşə   və ya cilalanmaldığınız xəmirin üzərini bir bezlə örtün.Otaq temperaturunda, günəş görməyən  bir yerdəortalama 3-4 gün qədər saxlayaraq gündə 2-3 dəfə yoğuraraq  xəmiri havalandırın.Günəş alan yerə təmiz pambıq bir bez sərin və ya siniyə yağlı kağız sərib xəmirdən aldığınız parçaları əlinizlə açıb bezin üzərinə sərin.Gün ərzində o üz bu üz çevirərək qurutmağa çalışın.Kənar hissələri quruyaraq orta hissəsi nəmli olan xəmirləri qıraraq ufalayıb  mətbəx robortunda üyüdün.Toz halına gələnə qədər üyüdün.İri parçalar halında qalan xəmirləri süzgəçdən keçirdərək eyni içləmləri yenidən həyata keçirdin.Tamamən qurutmuş olduğunuz toz tərxanayı çüçə bankalarda sərin və  quru yerdə mühafizə edin.Nuş olsun!",http://dadli.az/uploads/posts/2019-04/1554547329_dadli.jpg,Sulu yemek,572492
19,Umac şorbası," yumurta sarısı, stəkan  qədər  un, şorba qaşığı kərə yağı, diş sarımsaq kasa qatıq,-  un,Təzə nanə,Pul bibər,Duz,Su","Suyu dərin bir qazanda qaynamağa qoyun.Suya kərə yağın yarısını  və  bir iki parça kəsilmiş sarımsaqlar əlave edin.Yumurtanın sarısı, duz, un və az-az əlavə edilən suyu  bir qabda barmaq uçlarıyla yavaş -yavaş qarışdırılır.Su miktarı az tutulduğu üçün tam olaraq  yoğrulamayan bu xəmir  alınacaqdır.Həmin xəmiri ovcunuzda ovaraq kiçik hissələrə ayırın.Bu  xəmir dənəciklərini     bir kəfgirdən keçirdin.Kəfgirdən keçirtdiyiniz kiçik dənələri qaynayan suya əlavə edin.Kəfgirin üzərində qalan iri dənələri bir kənara alın.Qarışdırma qabına qatığı və 1-2 qaşıq unu əlavə edib qarışdırın.Qatıqlı qarışığa su əlavə edib durulaşdırın.Qazanda qaynamaqda olan sudan bir çömçə alaraq qatıqlı suya əlavə edin.Çalışın ki, qaynar su qatığı çürütməsin.Qatıqlı qarışıq  hazır olunca qazanda  qaynamaqda olan şorbaya əlavə edib, vam odda  bir neçə  burum  qaynadın.Geriyə  qalan kərə yağı  ilə kəfgirdə qalan umac dənələrini qızarana qədər qovurun.İncə  doğranmış  təzə nanə və pul bibər də əlavə edib  bir-iki dəfə qarışdırın.Bu sosu  şorbanın üzərinə  isti-isti gəzdirin.Umac şorbasını sarımsaqlı qatıqla birlikdə servis edin.Nuş olsun!",http://dadli.az/uploads/posts/2019-01/1548179529_dadli.jpg,Sulu yemek,377525
20,Protein bombası: Göbələkli noxud,",   bişmiş  noxud,   quru soğan,  pomidor tomatı, am göbələk,  zeytun yağı, dənə pomidor, şirniyyat qaşığı duz,  istiot, Tövsiyyələrimiz:Göbələkləri yumaq yerinə baş hissəsində olan qabığını soyun  və nəmli bir bezlə təmizləyin.Göbələkləri çox suda saxlamaq onların aralmasına səbəb ola bilər.Ancaq  təmiz olmadı deyə düşünürsünüzsə sürətli sudan keçirtməyiniz yetərli olacaqdır.Bişirmə təklifi:Cəfəri yarpaqları ilə bəzəyə bilər, düyü plovu ilə servis edə bilərsiniz. ",Noxudları əvvəlcədən bişirib qabıqlarını soyun.Qazanı qızdıraraq içərisinə zeytun yağı əlavə edin.Soğanların qabıqlarını soyun və küp küp doğrayın.Doğradığınız soğanları qazana alaraq qovurun və iri doğradığınız göbələkləri soğanlarla birlikdə qovurun.Pomidorların qabıqlarını soyub rəndələyin.Göbələklər suyunu salıb çəkəndən sonra tomatı və pomidorları əlavə edin.Daha öncədən hazırladığınız noxudları əlavə edərək noxudların üzərini bir barmaq keçənə qədər soyuq su əlavə edin.Duz və istiot ilə dad verin.Qazanın qapağını örtərək vam odda noxudlar yaxşıca bişənə qədər bişirin.Saxsıda uzun zaman vam odda bişirə bilərsiniz  və ya tək adamlıq saxsıda üzərini folya ilə örtərək 200 dərəcəlik fırında 30 dəqiqə bişirə bilərsiniz.Nuş olsun!,http://dadli.az/uploads/posts/2018-12/1545324508_dadli.jpg,Sulu yemek,414143
21,Balqabaq şorbası,Balqabaq- kqBaş soğan- ededSarımsaq-- dişKərə yağı- .Qaymaq(%)- ml.Su- lt.,"Balqabağın qabığını soyub,xırda kəsirik.Baş soğanı xırda kəsib, kərə yağında qızardırıq.Yanına sarimsağı ve balqabağı elavə edib 5-6 deq. qizardiriq. Üstünə su tokub, qaynamasını gözləyirik. Qaynayan kimi atəşi orta edirik və 20 dəq. bişiririk. Bişəndən sonra blendordan keçırdirik. Qaymağı elavə edib qarışdırırıq. Duz, istiot zovgə görə elavə ede bilərsiz. Qeyd: Bu şorbaya qizarmış krevetka ve ya bekon elavə ede bilərsizNuş olsun!mənbə: Günel Bahasun (instagram)",http://dadli.az/uploads/posts/2018-02/1518883008_dadli.jpg,Sulu yemek,105701
22,Yaşıl mərci şorbası,"st mərciƏt bulyonu  soyulmuş pomidoru  kök  kartof  soğanDuz, istiot ve sarikok.",Mərcini gecədən suya qoyuruq.Seher qaynamağa qoyuruq.Pomidorları sürtkəcdən keçiririk.Kökü və soğanı da sürtkəcdən keçirib kenarda kere yaginda qovururuq. Mərci 45 deq. bişənden sonra uzerine kub şəklində doğradigimiz kartoflari elave edirik. Daha sonra qovurdugumuz kok ve sogan qarisimini elave edirik. En axirda pomidorlari. 10 deq daha bisirib altini sondururuk. Zovge gore goyerti sepirik.Şorbamız hazırdır.Nuş olsun!,http://dadli.az/uploads/posts/2017-10/1508271176_dadli.jpg,Sulu yemek,384857
